"item","base_item","quaked","model","description"
"ammo_bullets_vanilla","ammo_bullets","/* QUAKED ammo_bullets (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/ammo/bullets/medium/tris.md2","Bullets. Ammo for the Machinegun and Chaingun weapons."
"ammo_cells_vanilla","ammo_cells","/* QUAKED ammo_cells (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/ammo/cells/medium/tris.md2","Cells. Ammo for the Hyperblaster and BFG10K, and power for the Power Shield and Power Screen."
"ammo_grenades_vanilla","ammo_grenades","/* QUAKED ammo_grenades (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/ammo/grenades/medium/tris.md2","Grenades. Ammo for the Grenade Launcher. Can also be thrown individually."
"ammo_rockets_vanilla","ammo_rockets","/* QUAKED ammo_rockets (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/ammo/rockets/medium/tris.md2","Rockets. Ammo for the Rocket Launcher."
"ammo_shells_vanilla","ammo_shells","/* QUAKED ammo_shells (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/ammo/shells/medium/tris.md2","Shells. Ammo for the Shotgun and Super Shotgun."
"ammo_slugs_vanilla","ammo_slugs","/* QUAKED ammo_slugs (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/ammo/slugs/medium/tris.md2","Slugs. Ammo for the Railgun."
"func_areaportal_vanilla","func_areaportal","/* QUAKED func_areaportal (0 0 0) ?","","An invisible object that divides the world into areas that are separated when this portal is dormant. Usually enclosed in the middle of a door."
"func_button_vanilla","func_button","/* QUAKED func_button (0 .5 .8) ?","","A button. When touched, it moves some distance in the direction of its angle, triggers all of its targets, waits some time, and returns into its original position, so it can be triggered again."
"func_clock_vanilla","func_clock","/* QUAKED func_clock (0 0 1) (-8 -8 -8) (8 8 8) TIMER_UP TIMER_DOWN START_OFF MULTI_USE","","A clock. Can be triggered, or start at the beginning of the level. Must be used in tandem with target_characters and/or target_string."
"func_conveyor_vanilla","func_conveyor","/* QUAKED func_conveyor (0 .5 .8) ? START_ON TOGGLE","","OBSOLETE. Use func_train instead. A stationary brush that moves whatever is non them. Needs at least one ''current content'' enabled. (?)"
"func_door_vanilla","func_door","/* QUAKED func_door (0 .5 .8) ? START_OPEN x CRUSHER NOMONSTER ANIMATED TOGGLE ANIMATED_FAST","","A door. Has multiple uses, but usually signals the entrance/exit to/from somewhere."
"func_door_rotating_vanilla","func_door_rotating","/* QUAKED func_door_rotating (0 .5 .8) ? START_OPEN REVERSE CRUSHER NOMONSTER ANIMATED TOGGLE X_AXIS Y_AXIS","","A rotating door."
"func_door_secret_vanilla","func_door_secret","/* QUAKED func_door_secret (0 .5 .8) ? always_shoot 1st_left 1st_down","","Secret door. After being shot or triggered, slides back and then to the side."
"func_explosive_vanilla","func_explosive","/* QUAKED func_explosive (0 .5 .8) ? Trigger_Spawn ANIMATED ANIMATED_FAST","","Object that explodes when triggered."
"func_group_vanilla","func_group","/* QUAKED func_group (0 .5 .8)","","EDITOR-ONLY. Groups brushes for many tasks."
"func_killbox_vanilla","func_killbox","/* QUAKED func_killbox (1 0 0) ?","","A brush that kills everything inside of it. Must be triggered in order to work. Ignores all kinds of protection."
"func_object_vanilla","func_object","/* QUAKED func_object (0 .5 .8) ? TRIGGER_SPAWN ANIMATED ANIMATED_FAST","","Object that falls down when triggered."
"func_plat_vanilla","func_plat","/* QUAKED func_plat (0 .5 .8) ? PLAT_LOW_TRIGGER","","An elevating platform. These are always drawn in the extended position so they will light correctly. If it's in the tatget of another trigger/button, starts out disabled in the extended position until triggered."
"func_rotating_vanilla","func_rotating","/* QUAKED func_rotating (0 .5 .8) ? START_ON REVERSE X_AXIS Y_AXIS TOUCH_PAIN STOP ANIMATED ANIMATED_FAST","","A rotating object."
"func_timer_vanilla","func_timer","/* QUAKED func_timer (0.3 0.1 0.6) (-8 -8 -8) (8 8 8) START_ON","","A timer. Once a certain amount of time passed, it triggers all of its targets and restarts."
"func_train_vanilla","func_train","/* QUAKED func_train (0 .5 .8) ? START_ON TOGGLE BLOCK_STOPS","","Moving, rideable platform. The train follows a set of path_corner that are used for its trajectory, with a small origin brush determining the ''railing'' point of the train. The train spawns in the first target it's pointing at. If the train is the target of a button or trigger, it won't move until triggered."
