"item","base_item","quaked","model","description"
"ammo_bullets_rogue","ammo_bullets","/* QUAKED ammo_bullets (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/ammo/bullets/medium/tris.md2","Bullets. Ammo for the Machinegun and Chaingun weapons."
"ammo_cells_rogue","ammo_cells","/* QUAKED ammo_cells (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/ammo/cells/medium/tris.md2","Cells. Ammo for the Hyperblaster and BFG10K, and power for the Power Shield and Power Screen."
"ammo_disruptor_rogue","ammo_disruptor","/* QUAKED ammo_disruptor (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/ammo/am_disr/tris.md2","Disruptor. Ammo for the Disintegrator."
"ammo_flechettes_rogue","ammo_flechettes","/* QUAKED ammo_flechettes (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/ammo/am_flechette/tris.md2","Flechettes. ETF Rifle ammo."
"ammo_grenades_rogue","ammo_grenades","/* QUAKED ammo_grenades (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/ammo/grenades/medium/tris.md2","Grenades. Ammo for the Grenade Launcher. Can also be thrown individually."
"ammo_nuke_rogue","ammo_nuke","/* QUAKED ammo_nuke (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/weapons/g_nuke/tris.md2","A-M Bomb. In SP: a key objective. In MP: a nuke that cleanses anything in a big radius, regardless of walls."
"ammo_prox_rogue","ammo_prox","/* QUAKED ammo_prox (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/ammo/am_prox/tris.md2","Prox. Prox Launcher ammo."
"ammo_rockets_rogue","ammo_rockets","/* QUAKED ammo_rockets (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/ammo/rockets/medium/tris.md2","Rockets. Ammo for the Rocket Launcher."
"ammo_shells_rogue","ammo_shells","/* QUAKED ammo_shells (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/ammo/shells/medium/tris.md2","Shells. Ammo for the Shotgun and Super Shotgun."
"ammo_slugs_rogue","ammo_slugs","/* QUAKED ammo_slugs (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/items/ammo/slugs/medium/tris.md2","Slugs. Ammo for the Railgun."
"ammo_tesla_rogue","ammo_tesla","/* QUAKED ammo_tesla (.3 .3 1) (-16 -16 -16) (16 16 16) TRIGGER_SPAWN","models/ammo/am_tesl/tris.md2","Tesla Mine. Launches a small base that electrocutes anything it comes into contact with."
"dm_dball_ball_start_rogue","dm_dball_ball_start","/* QUAKED dm_dball_ball_start (1 .5 .5) (-48 -48 -48) (48 48 48)","models/objects/dball/tris.md2",""
"dm_dball_goal_rogue","dm_dball_goal","/* QUAKED dm_dball_goal (1 .5 .5) ? TEAM1 TEAM2","",""
"dm_dball_speed_change_rogue","dm_dball_speed_change","/* QUAKED dm_dball_speed_change (1 .5 .5) ? ONEWAY","",""
"dm_dball_team1_start_rogue","dm_dball_team1_start","/* QUAKED dm_dball_team1_start (1 .5 .5) (-16 -16 -24) (16 16 32)","",""
"dm_dball_team2_start_rogue","dm_dball_team2_start","/* QUAKED dm_dball_team2_start (1 .5 .5) (-16 -16 -24) (16 16 32)","",""
"dm_tag_token_rogue","dm_tag_token","/* QUAKED dm_tag_token (.3 .3 1) (-16 -16 -16) (16 16 16)","models/items/tagtoken/tris.md2","Tag token for deathmatch tag games."
"func_areaportal_rogue","func_areaportal","/* QUAKED func_areaportal (0 0 0) ?","","An invisible object that divides the world into areas that are separated when this portal is dormant. Usually enclosed in the middle of a door."
