key;type;fullname;basekey;text
key__color;color;Light Color;_color;Color of the light entity.
key__dirt;float;Dirt Mapping;_dirt;Overrides dirt mapping choice from compiler.
key__mincolor;color;Minlight Color;_mincolor;Color taken by minlight.
key__minlight;float;Minimum Light;_minlight;Minimum light for all surfaces.
key__minlight_exclude;string;Exclude from Minlight;_minlight_exclude;Textures to exclude from minlighting.
key__mirrorinside;boolean;Double-Sided Face;_mirrorinside;If checked, allows the use of double-sided faces.
key__object_channel_mask;integer;Transparency Bitflag;_object_channel_mask;Bitflag that specifies which channels should undergo transparency. 0 = legacy behavior. Formula for every bitflag is 2^(X-1), so for channels 4, 13 and 20, it would be 2^(4-1)+2^(13-1)+2^(20-1) = 2^3+2^12+2^19 = 8+4096+524288 = 528392
key__phong;boolean;Phong Shading;_phong;If checked, enables phong shading in the brush.
key__phong_angle;float;Phong Shading Angle;_phong_angle;If Phong Shading is enabled, specifies the lighting angle.
key__shadow;boolean;Shadow Casting;_shadow;If checked, the entity casts a shadow.
key__shadowself;boolean;Shadow Over Self;_shadowseof;If checked, casts a shadow over itself.
key_accel_func_plat;float;Acceleration;accel;After activation, it accelerates at this rate. Its top speed is mentioned in speed.
key_accel_func_rotating;float;Acceleration;accel;If the accel flag is checked, after activation, it accelerates at this rate. Its top speed is mentioned in speed.
key_accel_func_water;float;Acceleration;accel;Determines raising speed based on the lowest player's distance. It's the divisor.
key_ammo;integer;Ammo Amount;ammo;Amount of ammo this weapon gives on pickup.
key_angle;integer;Angle;angle;Facing angle of the entity (Yaw).
key_angle_info_world_text;integer;Text Angle;angle;"Facing angle of the text (Yaw 0-360). -3 = Tracks player; -2 = Down; -1 = Up."
key_angles;angle;Angles;angles;Facing angles of the entity (Pitch Yaw Roll).
key_bmodel_anim_alt_end;integer;Alt. Animation End Frame;bmodel_anim_alt_end;End frame of alternate animation.
key_bmodel_anim_alt_nowrap;boolean;Alt. Animation No Wrapping;bmodel_anim_alt_nowrap;If checked, alternate frames are clamped rather than wrapped.
key_bmodel_anim_alt_speed;integer;Alt. Animation Speed;bmodel_anim_alt_speed;Alternate animation speed in milliseconds.
key_bmodel_anim_alt_start;integer;Alt. Animation Starting Frame;bmodel_anim_alt_start;Starting frame of alternate animation.
key_bmodel_anim_alt_style;integer;Alt. Animation Style;bmodel_anim_alt_style;"0 = Forwards; 1 = Backwards; 2 = Random"
key_bmodel_anim_end;integer;Animation End Frame;bmodel_anim_end;End frame of animation.
key_bmodel_anim_nowrap;boolean;Animation No Wrapping;bmodel_anim_nowrap;If checked, frames are clamped rather than wrapped.
key_bmodel_anim_speed;integer;Animation Speed;bmodel_anim_speed;Animation speed in milliseconds.
key_bmodel_anim_start;integer;Animation Starting Frame;bmodel_anim_start;Starting frame of animation.
key_bmodel_anim_style;integer;Animation Style;bmodel_anim_style;"0 = Forwards; 1 = Backwards; 2 = Random"
